laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
790,Lenovo IdeaPad Slim 3 82XQ008EIN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,32590,53.0,AMD,Ryzen 3,7.0,4.0,8.0,8.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
791,Acer Aspire 3 A315-510P Laptop (Intel Core i3 N305/ 8GB/ 256GB SSD/ Win11 Home),Acer,31899,,Intel,Core i3,,8.0,8.0,8.0,DDR4,256,0,15.6,1920x1080,2073600.0,False,UHD Graphics,0,False,Windows 11,1
792,Dell Inspiron 16 5635 Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11),Dell,55990,59.0,AMD,Ryzen 5,7.0,6.0,12.0,8.0,LPDDR5,512,0,16.0,1920x1200,2304000.0,False,Radeon Graphics,0,False,Windows 11,1
793,Razer Blade 14 2023 Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),Other,199990,,AMD,Ryzen 9,7.0,8.0,16.0,32.0,DDR5,1024,0,14.0,2560x1600,4096000.0,False,RTX 4060,8,True,Windows 11,1
794,MSI Thin GF63 11UCX-1476IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,51490,66.0,Intel,Core i5,11.0,6.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,2
795,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,89990,68.0,Intel,Core i7,12.0,10.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 4050,6,True,Windows 11,1
796,Asus Vivobook 16X 2023 K3605ZF-MBN524WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,57990,65.0,Intel,Core i5,12.0,8.0,12.0,8.0,DDR4,512,0,16.0,1920x1200,2304000.0,False,RTX 2050,4,True,Windows 11,1
797,Acer Aspire 5 A514-56M 2023 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Acer,53990,,Intel,Core i5,13.0,10.0,12.0,8.0,LPDDR5,512,0,14.0,1920x1200,2304000.0,False,Iris Xe Graphics,0,False,Windows 11,1
798,MSI Bravo 15 C7VFK-087IN Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,99990,74.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR5,1024,0,15.6,1920x1080,2073600.0,False,RTX 4060,8,True,Windows 11,1
799,MSI Bravo 15 C7UDXK-092IN Gaming Laptop (AMD Ryzen 7 7735HS/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6 GB Graphics),MSI,95000,66.0,AMD,Ryzen 7,7.0,8.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,2
800,MSI Bravo 15 C7UCXK-095IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),MSI,53990,61.0,AMD,Ryzen 5,7.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,2
801,MSI Bravo 15 C7UDXK-093IN Gaming Laptop (AMD Ryzen 5 7535HS/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6 GB Graphics),MSI,74990,65.0,AMD,Ryzen 5,7.0,6.0,12.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,6,True,Windows 11,2
