item_id,model_name,brand,price_inr,rating,num_ratings,color,type
288,Clownfish HEADPHON BLUETOOTH WIRELESS I-12 BLACK IN THE...,Clownfish,469,3.6,8279,Black,True Wireless
289,Clownfish HEADPHON BLUETOOTH WIRELESS I-12 BLACK IN THE...,Clownfish,469,3.8,155,Black,True Wireless
290,Cosmic Byte Stardust Wired Gaming Headset,Cosmic,799,4.2,10071,Red,On the Ear
291,Cosmic Byte GS430 Wired Gaming Headset,Cosmic,929,3.9,35280,Red,On the Ear
292,Cosmic Byte Stardust Wired Gaming Headset,Cosmic,799,3.9,13327,Blue,On the Ear
293,Cosmic Byte Stardust Wired Gaming Headset,Cosmic,799,4.2,10071,Blue,On the Ear
294,Cosmic Byte GS430 Wired Gaming Headset,Cosmic,929,3.9,22,Red,On the Ear
295,Cosmic Byte GS430 Wired Gaming Headset,Cosmic,929,3.6,101,Green,On the Ear
296,Cosmic Byte H11 Gaming Wired Gaming Headset,Cosmic,895,4.2,3533,Purple,On the Ear
297,Cosmic Byte Uranus RGB LED Wired Gaming Headset,Cosmic,1554,4.0,389,Black,On the Ear
298,Cosmic Byte H1 Wired Gaming Headset,Cosmic,882,4.3,15,Blue,On the Ear
299,Cosmic Byte Uranus RGB LED Wired Gaming Headset,Cosmic,1548,3.5,881,Black,On the Ear
300,Cosmic Byte H1 Wired Gaming Headset,Cosmic,882,3.8,0,Blue,On the Ear
301,Crezor air_pods pro headphone buds Bluetooth Headset Bl...,Crezor,749,3.6,97,White,True Wireless
302,Crezor air_pods pro headphone buds Bluetooth Headset Bl...,Crezor,749,3.2,232,White,True Wireless
303,CrossBuzz PLUS1BULLET WIRELESS 3 NECKBAND BLUETOOTH BAS...,CrossBuzz,499,5.0,0,Black,In the Ear
304,Crystal Digital HBS-730 Bluetooth Headset Easy To Carry...,Crystal,475,4.0,333036,Black,In the Ear
305,Czech Sports Stereo Headphones Bluetooth Headset,Czech,260,3.9,18893,Black,True Wireless
306,Czech Deep Bass earphone Mobile Headset with Mic.... Bl...,Czech,218,4.0,1032,Black,In the Ear
307,Czech Wireless/bluetooth Headset Bluetooth Headset,Czech,240,3.5,172,Multicolor,In the Ear
308,DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphon...,DAYNEO,664,3.7,1762,Black,True Wireless
309,DAYNEO TWS- I 21 - Bluetooth Headset,DAYNEO,657,3.8,9600,Black,True Wireless
310,DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,DEFY,699,4.2,229212,Electric Blue,In the Ear
311,DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,DEFY,699,4.4,528,Active Black,In the Ear
312,DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,DEFY,699,4.4,528,Lively Green,In the Ear
313,DELMOHUT Hp17 mini mineckband in-Ear headphone with mic...,DELMOHUT,277,4.0,2834,Black,In the Ear
314,DettoZap i12s Bluetooth Wireless Headphone with Mic and...,DettoZap,449,3.8,801,White,True Wireless
315,DettoZap Bluetooth i12s Wireless Earphone with Mic and ...,DettoZap,489,3.8,355,Shining White,True Wireless
316,DigiClues Smart TWS with Charging Case & Power Bank HD ...,DigiClues,1299,3.8,14,Black,True Wireless
317,DigiClues Smart TWS with Charging Case & Power Bank HD ...,DigiClues,1299,3.0,6,Black,True Wireless
318,DigiClues Smart HD Sound Earphone with Charging Case Bl...,DigiClues,649,3.8,801,White,True Wireless
319,DigiClues Smart With Charging Case Bluetooth Headset,DigiClues,649,3.3,1842,White,True Wireless
320,DigiClues Tune-200 Wireless Neckband with Mic HD Sound ...,DigiClues,699,4.3,1049774,Black,True Wireless
321,DigiClues PRO 5.0 Bluetooth Headset,DigiClues,549,3.4,84,Black,In the Ear
322,DigiClues B-235 Wireless Neckband with Mic Powerful Ste...,DigiClues,699,3.8,1212,Black,True Wireless
323,DigiClues Extra Bass Live 200 Bluetooth Headset,DigiClues,599,3.6,1093,Black,True Wireless
324,DigiClues Gaming TWS With Charging Case Stereo Sound Qu...,DigiClues,1799,3.8,1676,Black,True Wireless
325,DigiClues High Quality Bluetooth Headset,DigiClues,999,4.1,0,Black,True Wireless
326,DigiClues Smart TWS L-21 With Charging Case Bluetooth H...,DigiClues,999,4.0,1934,Black,True Wireless
327,DigiClues T-2 TWS With Charging Case & Power-Bank HQ So...,DigiClues,1299,3.5,761,Black,True Wireless
328,DigiClues Upto 8 Hrs Playtime With Mic Bluetooth Headse...,DigiClues,649,3.7,0,Black,True Wireless
329,DigiClues S109 Single Wireless 18 Hours of Calling with...,DigiClues,599,3.4,120,Black,True Wireless
330,DigiClues Bass-Dops Bluetooth Headset,DigiClues,999,3.3,85,Black,True Wireless
331,DigiClues Smart TWS Buds-Max With Charging Case HD Soun...,DigiClues,1499,5.0,0,Black,True Wireless
332,DigiClues Up to 15 Hrs. Playtime With Mic Bluetooth Hea...,DigiClues,649,4.0,333036,Black,True Wireless
333,DIZO by realme TechLife Buds Z Bluetooth Headset,DIZO,1599,4.3,11557,Onyx,True Wireless
334,DIZO by realme TechLife GoPods D with Enviornment Noise...,DIZO,999,4.0,30895,Black,True Wireless
335,DIZO by realme TechLife GoPods D with Enviornment Noise...,DIZO,999,4.0,2834,White,True Wireless
336,DIZO by realme TechLife Wireless Bluetooth Headset,DIZO,999,4.6,14,Green,In the Ear
337,drums GAMING BASS BUDS 11 Bluetooth Headset,drums,1079,4.0,4,Black,True Wireless
338,drums TWS WIRELESS 015 Bluetooth Headset,drums,899,1.0,0,Black,True Wireless
339,drums PRO 35 Bluetooth Headset,drums,899,4.3,15,Black,True Wireless
340,Earboss Truly Wireless Earbuds/pod/ buds 5.0 Bluetooth ...,Earboss,664,3.4,482,Black,True Wireless
341,Earboss Truly Wireless Earbuds/pod/ buds 5.0 Bluetooth ...,Earboss,664,4.0,6102,Black,True Wireless
342,EKSA E900 Pro Wired Gaming Headset,EKSA,3229,3.6,28,Black,On the Ear
343,electmart Original Earphone Deep Bass on mobile Wired H...,electmart,223,3.7,31,White,In the Ear
344,Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Enacfire,599,4.3,437106,Reverb black,In the Ear
345,Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Enacfire,599,3.7,10419,Reverb black,In the Ear
346,Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Enacfire,599,4.4,528,Reverb black,In the Ear
347,Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Enacfire,599,3.6,11358,Bass Blue,In the Ear
348,Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Enacfire,599,4.0,853,Reverb black,In the Ear
